Sample	Tax	Profile	Group
Y9	g__Parabacteroides	0.0116865869854	Y
Y8	g__Parabacteroides	0.00725984949093	Y
Y1	g__Parabacteroides	0.00690571049137	Y
Y3	g__Parabacteroides	0.00956175298805	Y
Y2	g__Parabacteroides	0.0157591854803	Y
Y5	g__Parabacteroides	0.0125719344843	Y
Y4	g__Parabacteroides	0.00796812749004	Y
Y7	g__Parabacteroides	0.0158477202302	Y
Y6	g__Parabacteroides	0.00354138999557	Y
O16	g__Parabacteroides	0.154581673307	O
O15	g__Parabacteroides	0.0839309428951	O
O14	g__Parabacteroides	0.129791943338	O
O13	g__Parabacteroides	0.148118636565	O
O12	g__Parabacteroides	0.113767153608	O
O11	g__Parabacteroides	0.205135015494	O
O10	g__Parabacteroides	0.170606463037	O
O9	g__Parabacteroides	0.255422753431	O
O8	g__Parabacteroides	0.1602478973	O
O7	g__Parabacteroides	0.137317397078	O
O6	g__Parabacteroides	0.184683488269	O
Y9	g__Lactobacillus	0.0361221779548	Y
Y8	g__Lactobacillus	0.0135458167331	Y
Y1	g__Lactobacillus	0.0195661797255	Y
Y3	g__Lactobacillus	0.0534749889332	Y
Y2	g__Lactobacillus	0.0574590526782	Y
Y5	g__Lactobacillus	0.0239043824701	Y
Y4	g__Lactobacillus	0.0520584329349	Y
Y7	g__Lactobacillus	0.0138114209827	Y
Y6	g__Lactobacillus	0.0558654271802	Y
O16	g__Lactobacillus	0.100132802125	O
O15	g__Lactobacillus	0.0851704293935	O
O14	g__Lactobacillus	0.0142540947322	O
O13	g__Lactobacillus	0.163877822045	O
O12	g__Lactobacillus	0.113944223108	O
O11	g__Lactobacillus	0.0760513501549	O
O10	g__Lactobacillus	0.149003984064	O
O9	g__Lactobacillus	0.1602478973	O
O8	g__Lactobacillus	0.0539176626826	O
O7	g__Lactobacillus	0.0720672864099	O
O6	g__Lactobacillus	0.0781761841523	O
Y9	g__Bacteroides	0.09597166888	Y
Y8	g__Bacteroides	0.0617087206729	Y
Y1	g__Bacteroides	0.0744577246569	Y
Y3	g__Bacteroides	0.102788844622	Y
Y2	g__Bacteroides	0.144842850819	Y
Y5	g__Bacteroides	0.104559539619	Y
Y4	g__Bacteroides	0.084019477645	Y
Y7	g__Bacteroides	0.0710048694112	Y
Y6	g__Bacteroides	0.0203629924745	Y
O16	g__Bacteroides	0.000442673749447	O
O15	g__Bacteroides	0.0664895971669	O
O14	g__Bacteroides	0.169189907039	O
O13	g__Bacteroides	8.85347498893e-05	O
