	O12	Y8	Y5	Y7	Y4	Y1	Y6	O11	Y9	O8	Y2	O6	O9	Y3	O15	O14	O13	O7	O16	O10
O12	0.0	0.51091139418	0.509049504513	0.496323580137	0.493127184192	0.50884618075	0.482783410525	0.225271187319	0.513570142614	0.263185113247	0.563267477428	0.21377480894	0.241127598338	0.50455177139	0.448239237849	0.429305648667	0.279981099239	0.298196849271	0.221242233514	0.280900947764
Y8	0.51091139418	0.0	0.441092682341	0.291328787038	0.465902522698	0.447645742919	0.290717250186	0.527246664723	0.291137442428	0.529043201368	0.479418895224	0.503118977	0.510330218027	0.45154696619	0.461582244748	0.486477562974	0.559206255259	0.567403830105	0.520667287333	0.513136492574
Y5	0.509049504513	0.441092682341	0.0	0.406755910706	0.236347712459	0.247858643991	0.376700983855	0.514100576546	0.419562199007	0.505798446417	0.300965436499	0.496992328227	0.47927925881	0.2266319644	0.429877548549	0.432860499194	0.538066396221	0.521305579773	0.498473572873	0.485843039451
Y7	0.496323580137	0.291328787038	0.406755910706	0.0	0.406933962776	0.43146309203	0.294336236083	0.521288535369	0.263047250549	0.521265424977	0.45299359215	0.497115421552	0.502648529238	0.426672257957	0.403920102112	0.455130156654	0.553847825699	0.530054914229	0.504152755603	0.499870882041
Y4	0.493127184192	0.465902522698	0.236347712459	0.406933962776	0.0	0.238701469741	0.423329030212	0.500026576012	0.387484710313	0.494451750869	0.264216207882	0.485031873091	0.475573702473	0.24282808423	0.436525153765	0.424312777068	0.536683220445	0.504844736363	0.499485422636	0.470482608769
Y1	0.50884618075	0.447645742919	0.247858643991	0.43146309203	0.238701469741	0.0	0.396805726844	0.519637596628	0.420074651325	0.516896113703	0.264847602335	0.491758096866	0.505298229629	0.248083928952	0.459069506242	0.451390572176	0.557623535967	0.53184764058	0.507559605132	0.487232340432
Y6	0.482783410525	0.290717250186	0.376700983855	0.294336236083	0.423329030212	0.396805726844	0.0	0.498728206155	0.297160286716	0.508917446401	0.461941167386	0.469075082416	0.491315469758	0.420052330123	0.422652957929	0.430316423314	0.537852946302	0.511344372894	0.488655228422	0.452245294678
O11	0.225271187319	0.527246664723	0.514100576546	0.521288535369	0.500026576012	0.519637596628	0.498728206155	0.0	0.523204237008	0.238107727836	0.566465125099	0.232781625177	0.221998350436	0.509438829977	0.459941905621	0.437632652339	0.29734139294	0.2959946803	0.261640443445	0.291465684578
Y9	0.513570142614	0.291137442428	0.419562199007	0.263047250549	0.387484710313	0.420074651325	0.297160286716	0.523204237008	0.0	0.51678654576	0.454429911218	0.500374880312	0.498263706607	0.42165490435	0.410613063641	0.46792331813	0.566950281749	0.528080222981	0.507447264885	0.495588323778
O8	0.263185113247	0.529043201368	0.505798446417	0.521265424977	0.494451750869	0.516896113703	0.508917446401	0.238107727836	0.51678654576	0.0	0.553265073281	0.219155727966	0.200083690779	0.495876867966	0.444546117168	0.433157257801	0.281758604887	0.260764282195	0.266505857517	0.222899881837
Y2	0.563267477428	0.479418895224	0.300965436499	0.45299359215	0.264216207882	0.264847602335	0.461941167386	0.566465125099	0.454429911218	0.553265073281	0.0	0.535108370067	0.536612601795	0.242081775885	0.473714972886	0.470721574744	0.589687198252	0.557321992522	0.539989942887	0.519835659775
O6	0.21377480894	0.503118977	0.496992328227	0.497115421552	0.485031873091	0.491758096866	0.469075082416	0.232781625177	0.500374880312	0.219155727966	0.535108370067	0.0	0.223365541851	0.489990289901	0.421427576872	0.433667940161	0.279794300992	0.240044574207	0.215837914087	0.238262508015
O9	0.241127598338	0.510330218027	0.47927925881	0.502648529238	0.475573702473	0.505298229629	0.491315469758	0.221998350436	0.498263706607	0.200083690779	0.536612601795	0.223365541851	0.0	0.478943311905	0.421585683786	0.39770954342	0.258308642746	0.257331116066	0.232305424721	0.212647341196
Y3	0.50455177139	0.45154696619	0.2266319644	0.426672257957	0.24282808423	0.248083928952	0.420052330123	0.509438829977	0.42165490435	0.495876867966	0.242081775885	0.489990289901	0.478943311905	0.0	0.446833825036	0.456475350917	0.542694875701	0.533644858425	0.507450798061	0.48035133522
O15	0.448239237849	0.461582244748	0.429877548549	0.403920102112	0.436525153765	0.459069506242	0.422652957929	0.459941905621	0.410613063641	0.444546117168	0.473714972886	0.421427576872	0.421585683786	0.446833825036	0.0	0.31731981908	0.477023101555	0.44147795613	0.42634049831	0.432110566271
O14	0.429305648667	0.486477562974	0.432860499194	0.455130156654	0.424312777068	0.451390572176	0.430316423314	0.437632652339	0.46792331813	0.433157257801	0.470721574744	0.433667940161	0.39770954342	0.456475350917	0.31731981908	0.0	0.477038698073	0.436231694296	0.424038985484	0.406501451797
O13	0.279981099239	0.559206255259	0.538066396221	0.553847825699	0.536683220445	0.557623535967	0.537852946302	0.29734139294	0.566950281749	0.281758604887	0.589687198252	0.279794300992	0.258308642746	0.542694875701	0.477023101555	0.477038698073	0.0	0.246178581345	0.271568872744	0.311130607935
O7	0.298196849271	0.567403830105	0.521305579773	0.530054914229	0.504844736363	0.53184764058	0.511344372894	0.2959946803	0.528080222981	0.260764282195	0.557321992522	0.240044574207	0.257331116066	0.533644858425	0.44147795613	0.436231694296	0.246178581345	0.0	0.259664767783	0.265914747892
O16	0.221242233514	0.520667287333	0.498473572873	0.504152755603	0.499485422636	0.507559605132	0.488655228422	0.261640443445	0.507447264885	0.266505857517	0.539989942887	0.215837914087	0.232305424721	0.507450798061	0.42634049831	0.424038985484	0.271568872744	0.259664767783	0.0	0.268260908959
O10	0.280900947764	0.513136492574	0.485843039451	0.499870882041	0.470482608769	0.487232340432	0.452245294678	0.291465684578	0.495588323778	0.222899881837	0.519835659775	0.238262508015	0.212647341196	0.48035133522	0.432110566271	0.406501451797	0.311130607935	0.265914747892	0.268260908959	0.0
